key	read_count
UniRef90_UPI0009E22FD8	8288
UniRef90_UPI0009E42017	3307
UniRef90_A0A2E7EDW5	2113
UniRef90_UPI00077AA835	635
UniRef90_UPI00077AEF50	225
UniRef90_UPI0009E4CB30	1209
UPI000F550BCF	905
UniRef90_UPI00077B2786	808
UniRef90_A0A2B4SFI0	7019
UniRef90_UPI00077A9991	474
UniRef90_B7T143	426
UPI00077A1898	442
UniRef90_A0A2B4RJ43	1478
UniRef90_UPI0009E4B945	1045
UniRef90_UPI00077A563F	362
UniRef90_A0A2B4SVR2	230
UniRef90_UPI00077AF647	757
UniRef90_UPI0009E2CFA9	3561
UniRef90_A0A2G8KVJ2	254
UPI000F557F2F	4382
UniRef90_UPI0009E4D36E	4047
UniRef90_UPI0009E627DB	3676
UniRef90_UPI0009E2523F	431
UniRef90_UPI0009E5528F	406
UniRef90_UPI0009E52C34	232
UniRef90_UPI0009E42C52	2572
UPI0009E46109	1877
UPI00077A7B1D	1075
UniRef90_UPI0009E1C395	877
UniRef90_UPI0009E27ABD	1527
UPI000C053EB5	513
UniRef90_UPI00077A41C0	502
UniRef90_A0A2B4SIS8	1614
UniRef90_A0A2B4RQE0	2029
UniRef90_UPI00077B20AE	907
UniRef90_UPI00077A0ECA	4676
UniRef90_A0A2B4SYS3	610
UniRef90_UPI00077A4AB7	2356
A0A2B4SDY6	304
UniRef90_A0A2B4S017	6829
UniRef90_UPI00077A4684	2437
UniRef90_UPI00077AAE55	841
UniRef90_UPI0009E4EF96	798
UniRef90_UPI00077AD709	571
UniRef90_A0A2B4RUG4	1147
UniRef90_UPI00077AE7F5	3104
UniRef90_UPI00077A874C	11708
UniRef90_A0A2B4RQH0	1588
UPI00077A5B14	2164
UniRef90_UPI0009E33CC6	3159
UniRef90_UPI00077AF08B	598
UniRef90_UPI0009E5B600	521
UniRef90_A0A2B4SFZ3	342
UniRef90_UPI0009E1D21D	812
UniRef90_UPI00077B05C2	434
UniRef90_UPI00077A8551	610
UniRef90_A0A2B4SUK8	354
UniRef90_A0A2B4SDH5	4434
UPI00077A9F1B	2095
UniRef90_UPI0009E32C38	390
UniRef90_UPI00077AB6A3	1048
UniRef90_UPI00077A0059	777
UniRef90_UPI0009E4B450	1164
UniRef90_UPI000779F7B8	1356
UniRef90_UPI0009E2B47F	563
UniRef90_UPI0001CBA6F4	975
UniRef90_UPI0009E51A11	716
UPI00077A2A8F	768
UPI000F5506C7	2876
UniRef90_UPI00077A24D3	543
UniRef90_UPI00077A3232	6696
UniRef90_UPI0009E4E23D	3481
UniRef90_UPI0009E1B938	569
UniRef90_UPI00077AE9D7	555
UniRef90_UPI00077ABCF7	2094
UniRef90_UPI000779FD1F	789
UniRef90_UPI00077A9077	869
UniRef90_UPI0009E342D8	544
UPI000C03A8CE	1368
UniRef90_UPI0009E31447	337
UniRef90_UPI000F5542C0	1056
UPI00077AE887	635
UniRef90_UPI0009E35E2D	614
UniRef90_UPI000C04CC3D	160
UniRef90_UPI00077A6D00	1801
UniRef90_UPI00077AC70D	707
UPI000F554775	905
UniRef90_UPI00077ADB49	92
UPI00077B08C8	903
UniRef90_UPI00077AC24F	404
UPI000F55238D	2870
UPI000C05795C	1835
UniRef90_UPI00077A016B	4576
UniRef90_A0A2B4RRM4	773
UniRef90_UPI000C04D4A9	2076
UniRef90_UPI00077AB0DD	488
UniRef90_A0A2B4SC33	791
UniRef90_UPI000C04C654	1045
UniRef90_UPI0009E32E47	9404
UniRef90_UPI0009E39DED	529
UniRef90_UPI00077B00C4	24254
UniRef90_UPI0009E49BB2	5010
UPI00077A4341	6290
UniRef90_UPI00077A9972	2611
UniRef90_UPI000779F6BD	1337
UniRef90_UPI00077B03D8	1309
UniRef90_UPI00077B0F16	411
UPI000F558969	2985
UniRef90_A0A2B4S5M5	722
UniRef90_UPI00077B10E1	437
UniRef90_UPI00077AED22	865
UPI000F54F2BC	2000
UPI00077A5CD6	233
UniRef90_UPI00077AE364	2103
UniRef90_A0A2B4S9D8	3828
UniRef90_A0A2B4RUA1	708
UPI000F556F94	1792
UPI00077A0C97	830
UniRef90_A7SWK7	382
UniRef90_A0A2B4R6T8	198
UniRef90_UPI00077A7507	777
UniRef90_UPI00077A1E97	552
UniRef90_UPI00077AAAF1	463
UniRef90_UPI00077A4B1D	457
UniRef90_UPI00077A8BE4	3258
UPI00077A44EF	1383
UniRef90_UPI00077AE33B	354
UniRef90_UPI0009E5820B	1438
UPI00077A43C3	544
UniRef90_UPI00077A2F19	5219
UniRef90_UPI0009E4FED0	1003
UniRef90_UPI00077A95E6	934
UniRef90_UPI000F553A01	1262
UniRef90_UPI0009E33663	450
UniRef90_A0A2B4RMX3	301
UniRef90_UPI00077B0B4F	3438
UniRef90_UPI00077A5D5E	458
UniRef90_UPI00077B0D8D	933
UPI0009E4F27C	723
UniRef90_UPI00077AD248	144
UniRef90_UPI0009E2A56E	341
UniRef90_UPI00077AEB6A	2388
UniRef90_UPI00077B1135	634
UniRef90_UPI000F5509DE	3603
UniRef90_UPI0009E50D33	660
UniRef90_UPI00077AB530	1825
UniRef90_UPI0009E5E3CB	254
UPI00077AE343	653
UniRef90_UPI00077A5323	1044
UniRef90_UPI0009E4852B	324
UniRef90_UPI00077A7865	911
UniRef90_UPI00077AF714	672
UniRef90_UPI0009E1BD03	519
UniRef90_UPI00077ADB07	363
UPI00077AB753	714
UniRef90_UPI00077A605F	3186
UniRef90_A0A2B4RHP5	1012
UniRef90_UPI00077AA925	354
UniRef90_UPI00077A600C	545
UniRef90_UPI0009E4EAFB	712
UniRef90_A0A2B4QZH0	438
UniRef90_UPI0009E39633	1227
UniRef90_UPI000F5565E4	10708
UniRef90_UPI0009E3A3B9	462
UPI00077A1AAC	858
UniRef90_UPI00077A4AC4	349
UniRef90_UPI00077A0219	208
UniRef90_UPI00077B23B6	472
UniRef90_UPI000C03AF42	10251
UniRef90_UPI00077A91A5	461
UniRef90_UPI0009E1AE1A	1189
UniRef90_UPI00077A32E9	865
A0A2B4SVP6	3324
A0A2B4S7V9	1212
UniRef90_UPI00077AC014	2067
UniRef90_UPI00077B09CD	322
UPI000F54EEA0	550
UniRef90_A0A2B4SI93	9534
UniRef90_UPI00077A561A	4132
UniRef90_UPI0009E379E2	424
UPI00077A6D2D	3063
UPI000F554FD2	717
UniRef90_UPI0009E3522C	1540
UniRef90_UPI0009E1E215	466
UniRef90_UPI0009E2214D	395
UniRef90_UPI0009E254F3	482
UniRef90_UPI00077A25E4	6574
UniRef90_UPI0009E2D8C6	41572
UniRef90_UPI00077A6861	1328
UPI00077A8B99	1538
UniRef90_UPI000C041405	71
UniRef90_UPI00077AF5F0	445
UniRef90_UPI00077A13F1	202
UniRef90_UPI000A2A7AA7	563
UniRef90_A0A2B4RQZ5	619
UniRef90_A0A2B4RHR2	276
UniRef90_UPI00077A067B	603
UniRef90_UPI00077B1C31	537
UniRef90_UPI00077B1385	299
UniRef90_UPI00077ACA9F	1142
UniRef90_UPI00077A6EBF	243
UniRef90_UPI00077A7A3B	3142
UniRef90_UPI00077A80C1	805
UniRef90_UPI00077A5EC7	898
UPI000F554377	383
UniRef90_UPI00077A57BD	1020
UniRef90_A0A2B4RW85	4809
UniRef90_UPI0009E4BC78	2216
UniRef90_UPI0009E1ACF2	598
UniRef90_UPI000C055DBA	234
UniRef90_UPI00077AE29D	3939
UniRef90_UPI000A2A9FC7	447
UniRef90_A0A2B4RGP6	91
UniRef90_A0A2B4SL42	645
UniRef90_UPI00077A9CFF	520
UniRef90_UPI0009E5341A	836
UniRef90_UPI00077A8A4B	4995
UPI00077A1CEB	1445
UniRef90_UPI0009E5A8F4	2461
UPI00077B1638	963
UniRef90_UPI00077A5B44	495
UniRef90_UPI0009E46431	93
UPI00077B1BB8	213
UniRef90_UPI00077A97B8	875
UniRef90_UPI000A2A97AC	264
UniRef90_UPI000F552945	487
UniRef90_A0A2B4SCI3	249
UPI00077A0011	454
UniRef90_A0A2B4RX12	146
UniRef90_UPI00077A668C	38
UPI000F554A0B	249
UniRef90_A0A2B4RLY6	2222
UniRef90_UPI00077AC24C	1622
UniRef90_UPI00077A0A0F	1290
UniRef90_A0A2B4R2U4	330
UPI000F5569E2	945
UniRef90_UPI000C041FE6	232
UniRef90_UPI00077A00BC	507
UniRef90_UPI0009E29DBF	26235
UPI00077A8313	3130
UniRef90_A0A2B4SRT2	2017
UniRef90_UPI0009E2CC5C	1186
UniRef90_UPI00077A4728	336
UniRef90_UPI0009E2E69B	692
UniRef90_UPI00077A6C94	537
UPI00077A0559	1393
UniRef90_UPI00077AFE80	2049
UniRef90_UPI0009E3F91C	1141
UniRef90_A0A2B4SFH9	478
UniRef90_UPI00077ACD27	599
UniRef90_UPI00077A2E3E	406
UniRef90_UPI00077A4956	4332
UniRef90_UPI0009E63F94	1582
UniRef90_UPI00077B1C98	1272
UPI000F556A27	963
UniRef90_UPI0009E2519F	735
UniRef90_UPI0009E25A53	388
UniRef90_UPI00077ACAA1	138
UniRef90_UPI0009E20541	1232
UPI000C04E3CF	3512
UPI000F558DBB	150
UniRef90_A0A2B4T041	445
UniRef90_UPI00077ADE94	347
UniRef90_A0A2B4RB91	804
UPI00077A8F3A	592
UPI000F551DC6	4737
UniRef90_A0A2B4RXF0	607
UniRef90_UPI00077AA14D	758
UniRef90_A0A2B4RS21	386
UniRef90_UPI00077A3923	15953
UniRef90_UPI00077A9B61	715
UniRef90_A0A2B4RGX5	2902
A0A2B4SZH5	1523
UniRef90_UPI00077AD56A	297
UniRef90_UPI00077B0769	997
UniRef90_A0A2B4SDA0	837
UPI00077B230C	1331
UniRef90_A0A2B4S229	143
UniRef90_A0A2B4R9F9	113
UniRef90_A0A2B4SDB8	5247
UniRef90_Q6P2Q9	1866
UPI000F5563EF	2570
UniRef90_A7SXA2	943
UniRef90_UPI00077A7E83	413
UniRef90_UPI00077A5928	608
UniRef90_UPI00077A67D7	296
UniRef90_UPI00077A4E06	16990
UniRef90_A0A2B4RRY1	963
UPI000779F844	302
UniRef90_UPI00077AFE20	1862
UPI00077A6304	2070
UniRef90_A0A346HHC6	22358
UPI000779F4E2	705
UniRef90_A0A2B4S8Z4	763
UniRef90_UPI00077A3F65	212
UniRef90_A0A2B4SY90	1182
UniRef90_UPI000C04817E	531
UniRef90_A0A1Q9EJN7	278
UPI00077A6D8E	1426
UniRef90_UPI0009E2CE04	6043
UniRef90_UPI0009E30C3A	720
UniRef90_UPI0009E2AB51	841
UPI00077A18EA	221
UniRef90_UPI00077AC6FE	788
UniRef90_A0A2B4RNJ0	282
UniRef90_UPI0009E4D661	1251
UniRef90_UPI0009E49BB0	1596
UniRef90_A0A2B4S2V5	1310
UniRef90_UPI00077AD409	693
UPI00077AE006	623
