key	read_count
unirefid	1
UPI00077B070F	1
UniRef90_UPI0009E26A13	2
UniRef90_UPI0009E64B9D	5
UniRef90_UPI0009E30F98	1
UniRef90_UPI0009E40600	2
UniRef90_UPI00077AEFFC	1
UniRef90_UPI0009E477B0	1
UniRef90_UPI0009E6377F	1
UniRef90_UPI00077B0F61	2
UniRef90_A0A2B4SPQ8	1
UniRef90_A0A2B4RB99	1
UniRef90_UPI00077ACF60	4
UniRef90_UPI0009E1924F	1
UniRef90_UPI00077AC732	2
UPI000F552B24	3
UniRef90_UPI00077A26E3	2
UniRef90_UPI000C042F45	2
UniRef90_UPI00077B0494	2
UniRef90_UPI0009E54222	1
UniRef90_UPI0009E404E4	4
UPI0009E4446A	2
UniRef90_UPI00077A422F	1
UPI00077A5CCA	1
UniRef90_UPI0009E2A2AA	2
UniRef90_UPI000A2A7AFB	4
A0A2B4T0J0	2
UniRef90_UPI00077AECDE	2
UniRef90_UPI00077AAE8A	1
UPI00077AD7C8	1
UPI00077A9F41	2
UPI0009E1A096	6
UniRef90_UPI00077AF0BC	2
UniRef90_UPI00077AB3E5	2
UPI00077A3CAC	2
UniRef90_UPI00077AAC39	1
UniRef90_A0A2B4RQW9	2
UniRef90_UPI00077AB3F4	2
UniRef90_UPI0009E636E0	2
UniRef90_UPI0009E54D71	1
UniRef90_UPI00077B0D8D	1
UniRef90_UPI0009E4ACAC	1
UniRef90_UPI00077ADC4A	3
UniRef90_UPI0009E3DEBF	3
UniRef90_UPI0009E3F91C	1
UniRef90_UPI00077A833F	1
UniRef90_UPI00077A474C	1
UniRef90_A0A2B4S727	3
UniRef90_UPI0009E22B8F	6
UPI00077A22A9	2
UniRef90_A0A2B4SWZ6	2
UniRef90_UPI0009E3055D	4
UniRef90_UPI00077AF649	1
UniRef90_UPI00077A9503	2
UniRef90_UPI0009E45A33	6
UniRef90_A0A2B4RHP5	18
UniRef90_A7RGK7	2
UniRef90_UPI0009E2A818	10
UniRef90_A0A2B4RLW4	1
UniRef90_UPI00077A63EF	2
UniRef90_UPI000C038FB4	2
UPI00077AB65D	2
UniRef90_UPI0009E4B450	18
UniRef90_UPI000C046AAE	2
UniRef90_UPI00077A9991	31
UniRef90_A0A2B4RCA9	1
UniRef90_UPI0009E39598	1
UniRef90_UPI00077AA532	2
UPI00077A32CF	4
UniRef90_UPI00077B23B6	1
UniRef90_UPI0009E25AAA	3
UniRef90_UPI0009E2A5C6	1
UniRef90_UPI0009E5F9A5	3
UniRef90_UPI00077A902A	2
UniRef90_UPI000F550D26	2
UniRef90_UPI0009E5B9E2	1
UniRef90_UPI000A2A5512	1
UniRef90_UPI00077A9A62	1
UPI00077A9E13	2
UniRef90_UPI00077B0E7B	3
UniRef90_UPI00077A1BAE	6
UniRef90_A0A2B4SW77	2
UPI00077AFF89	127
UniRef90_UPI0009E2B96B	9
UniRef90_UPI0009E31726	1
UniRef90_UPI0009E39408	1
UniRef90_UPI00077B0271	1
UniRef90_UPI00077AD157	1
UniRef90_UPI0009E56BCC	1
UniRef90_A0A2G8KII3	2
UniRef90_UPI0009E18F3C	1
UniRef90_A0A2B4SRM3	1
UniRef90_UPI00077AEEA9	5
UniRef90_A0A2B4RRY1	1
UniRef90_UPI0009E61954	2
UniRef90_UPI000C03B50F	4
A0A2B4S9C0	1
UniRef90_UPI00077A75A6	2
UniRef90_UPI0009E44514	2
UniRef90_UPI0009E5A104	3
UniRef90_UPI0009E2B1D1	1
UniRef90_UPI00077AAA9A	2
UniRef90_UPI000F54FEDB	2
UPI000F5579BC	1
UniRef90_UPI00077B0834	3
UniRef90_UPI0009E4FED0	3
UniRef90_UPI00077A7F66	4
UniRef90_A0A2B4SL36	1
UniRef90_UPI00077AF5EF	5
UPI000F557721	2
UniRef90_A0A2B4RU27	1
UniRef90_UPI00077A9287	3
UniRef90_UPI0009E5B2D4	1
UniRef90_UPI0009E1CFF5	4
UniRef90_UPI00077AAF93	2
UniRef90_UPI000C050A44	1
UniRef90_UPI00077AD677	1
UPI000F558969	3
UPI00077A3A9E	1
UniRef90_UPI0009E3E690	1
UniRef90_UPI00077A1A39	2
UniRef90_UPI00077AB781	2
UniRef90_UPI000C0394FD	1
UniRef90_UPI00077ACCBD	2
UniRef90_UPI00077B1832	7
A0A2B4SHR3	1
UPI00077AAF01	2
UniRef90_UPI00077B1309	1
UniRef90_UPI00077B0769	1
UniRef90_UPI0009E3C321	2
UniRef90_UPI00077ABFB7	2
UniRef90_UPI0009E3C502	1
UniRef90_G8HTA3	10
UniRef90_UPI00077AEA7B	3
UniRef90_UPI00077A0A62	1
UniRef90_UPI0009E3A27E	3
UPI000F54D679	2
UniRef90_UPI00077B14C8	1
UPI000F55728F	3
UniRef90_A0A2B4RT88	1
UniRef90_A0A1Q9CDH4	3
A0A2B4T0Z4	1
UniRef90_UPI0009E4696A	2
UniRef90_UPI00077A6BB1	1
UniRef90_UPI000C048887	1
UniRef90_UPI00077A5E30	1
UniRef90_A0A2B4R4D3	17
UPI000C0521D0	3
UniRef90_A0A2B4RV64	1
UniRef90_UPI00077A711D	3
UniRef90_UPI0009E33D37	1
UniRef90_A7RLN7	2
UniRef90_A7T4V0	4
UniRef90_A0A2B4RFH9	2
UniRef90_A0A2B4SGW3	1
UPI000F55295F	1
UniRef90_UPI00077A4E48	1
A0A2B4RJZ0	1
UniRef90_UPI00077A77E2	2
UniRef90_UPI00077B1558	1
UniRef90_UPI00077AEFE1	4
UniRef90_UPI00077A66F7	1
UniRef90_UPI00077A95E6	22
UniRef90_UPI00077A154F	1
UniRef90_UPI0009E44A1D	4
UniRef90_UPI000779FBA6	5
UniRef90_UPI0009E2DFB4	4
UniRef90_UPI00077A3800	3
UniRef90_UPI00077A3167	4
UniRef90_A0A2B4STF4	1
UniRef90_A0A2B4SJI3	1
UniRef90_A0A2B4SQ30	2
UniRef90_UPI00077A6406	2
UniRef90_UPI00077A5EA3	7
UPI00077A15E1	1
UniRef90_UPI00077A8B50	2
UniRef90_A0A2B4RRD7	4
UPI000C040A9F	1
A0A2B4S3H2	1
UniRef90_UPI00077A31F0	1
UniRef90_A0A2B4RML3	7
UPI00077A360B	17
UniRef90_UPI00077A80BB	2
UniRef90_UPI00077A168B	9
UniRef90_UPI00077A2B05	4
UniRef90_UPI00077A32E9	1
UniRef90_A0A2B4SGD3	19
UniRef90_A0A2B4RSQ0	3
UniRef90_UPI0009E22FA7	3
UniRef90_UPI0009E53FE9	1
UniRef90_UPI00077AD4FE	2
UniRef90_A0A2B4RMB7	1
UniRef90_UPI00077A9941	14
UniRef90_UPI0009E2F8D6	1
UniRef90_UPI000779F9CD	1
UniRef90_UPI00077AE0F3	1
UPI000F54E2EC	4
UniRef90_UPI00077AE822	1
UniRef90_A0A2B4S2U4	3
UniRef90_UPI0009E2D148	1
UniRef90_UPI0009E5C6A3	1
UniRef90_UPI00077ACF16	1
UniRef90_UPI00077A8E5C	3
UniRef90_UPI00077A8A8B	1
UniRef90_UPI00077A29EA	5
UniRef90_UPI00077A03F1	1
UniRef90_A0A2B4RHR2	1
UniRef90_UPI0009E4ACB9	1
UPI000F55521D	2
UniRef90_A0A2B4S597	1
UniRef90_A0A2B4RNJ2	1
UniRef90_A0A2B4SKY7	1
UniRef90_UPI000A2AA2B2	1
UPI000F553239	1
UniRef90_UPI0009E3107A	2
UPI00077AFD21	3
UniRef90_A0A2B4R775	1
UniRef90_UPI00077AFC4A	5
UniRef90_UPI0009E51B1D	2
UniRef90_UPI00077AFA47	1
UPI00077A3E5E	3
UniRef90_UPI00077A0B87	1
UniRef90_UPI00077AA487	3
UniRef90_UPI00077A4951	2
UniRef90_UPI0009E22B05	1
UniRef90_UPI000779F514	1
UniRef90_UPI0009E5E216	8
UniRef90_UPI00077A15BF	1
UniRef90_A0A2B4RUA1	2
UniRef90_UPI0009E5361F	2
UniRef90_A0A2B4RKC5	4
UniRef90_UPI0009E5BF44	1
UniRef90_UPI00077A53A0	1
UniRef90_UPI00077A554E	2
UniRef90_UPI00077AAE03	10
A0A2B4RDA9	1
UniRef90_UPI00077ABB39	30
UniRef90_A0A2B4S4H7	3
UPI00077AFC41	1
UniRef90_A0A2B4SSX1	1
UniRef90_UPI00077B270A	1
UPI00077A3B49	2
UniRef90_UPI00077A441B	1
UniRef90_UPI00077A3F65	3
UPI000779F844	1
UniRef90_UPI0009E5F7E2	1
UPI000F54EE14	1
UniRef90_A7SRW7	8
UniRef90_A0A2B4RNH2	5
UniRef90_UPI0009E1C811	2
UniRef90_UPI000C0526CF	3
UniRef90_A0A2B4S3W4	1
UniRef90_A0A1S3HH31	1
UniRef90_UPI00077A9AE6	1
UPI000F556F56	1
UniRef90_UPI000A2A66A9	7
UniRef90_UPI0009E32C38	41
UniRef90_UPI0009E2BD72	1
UniRef90_UPI00077AC4B9	1
UniRef90_B8RJM0	1
UniRef90_UPI0009E43058	2
UniRef90_UPI00077A8B01	4
UniRef90_A0A0G4EWH2	1
UniRef90_A0A2B4RY84	1
UPI00077A93E8	4
UPI00077AB1FD	1
UniRef90_UPI0009E413D4	2
UniRef90_UPI00077A8DF4	9
UniRef90_UPI0009E47AC0	2
UniRef90_UPI00077A4F95	1
UniRef90_A0A2B4ST78	2
UniRef90_A0A1A8BMQ9	6
UniRef90_UPI00077A7610	1
UniRef90_UPI00077AE49B	2
UniRef90_UPI000779FE32	2
UniRef90_UPI00077A71E6	1
UniRef90_UPI0009E5F18E	1
UniRef90_UPI0009E4D4F3	1
UniRef90_A0A2B4SW27	2
UniRef90_UPI00077AABA6	12
UniRef90_UPI000C03E4B9	1
UniRef90_A0A2B4SLC9	1
A0A2B4SKV5	1
UniRef90_UPI00077A5D2B	2
UPI000F54D23F	1
UniRef90_A0A2B4SFF6	2
UniRef90_UPI0009E63319	5
UniRef90_UPI00077A74DF	1
UniRef90_UPI00077AB1EE	2
UniRef90_A0A1S3HZ97	1
UniRef90_UPI00077AC32E	3
UniRef90_UPI0009E32888	1
UniRef90_A0A2B4RED0	1
UniRef90_B3RN97	1
UniRef90_A0A2B4SHG0	4
UPI00077A4DFA	3
UniRef90_A0A2B4SEP2	2
UniRef90_UPI00077A2E0D	4
UniRef90_A0A2B4R3B8	1
UniRef90_UPI0009E1CF8D	1
UniRef90_UPI0009E4BC26	2
A0A2B4SP75	3
UniRef90_A0A2B4RNE6	3
UniRef90_UPI00077A6141	1
UniRef90_UPI00077AFE61	1
UPI00077AB766	2
UniRef90_UPI00077AC3D9	1
UniRef90_UPI00077A0552	1
UniRef90_UPI0009E290D1	1
UniRef90_UPI00077B0875	1
UniRef90_UPI00077A9F0F	2
UniRef90_A0A2B4SN84	1
UniRef90_UPI0009E38B9D	3
UniRef90_UPI000C042BA2	13
UniRef90_UPI0009E44B06	4
UniRef90_UPI00077AE971	6
UniRef90_UPI0009E54D9E	1
UPI00077A02F7	3
UPI000C0392DE	1
UniRef90_UPI00077AEA64	1
UniRef90_UPI000C03D3C1	1
UniRef90_UPI00077A4684	4
UniRef90_UPI00077A4BAF	2
UPI000F55189D	1
UniRef90_UPI00077A9B74	2
UPI00077A5584	1
UPI00077A3DD1	3
UPI00077B19C2	4
UPI000F551267	2
UniRef90_UPI0009E53F87	1
UniRef90_UPI0009E6177C	2
UniRef90_A0A2B4RHT6	1
UniRef90_H0YMV8	1
UniRef90_UPI0009E3E6B7	2
UniRef90_A0A2B4SEN6	1
UniRef90_UPI00077A29EF	2
UPI00077ADA74	3
UniRef90_UPI0009E5E9C8	3
UniRef90_UPI000F54F769	1
UniRef90_UPI0009E508C4	2
UniRef90_A0A2B4SQ77	1
UniRef90_UPI0009E24582	2
UniRef90_A0A2B4S0A0	1
UniRef90_UPI00077A5A87	2
UniRef90_UPI000779FA05	4
UPI00077A672B	1
UniRef90_A0A1B4Z126	2
UniRef90_UPI00077AE23D	1
UniRef90_UPI00077A156C	1
UPI00077A6A6D	3
UniRef90_UPI000F55616A	1
UniRef90_UPI00077A25E4	2
UniRef90_UPI00077A8AA8	1
UniRef90_UPI00077AE50B	1
UniRef90_UPI0009E44089	2
UniRef90_UPI00077AF702	4
UPI00077ADEC4	4
UPI00077A20F0	2
UniRef90_UPI0009E2DC19	1
UniRef90_A0A2B4S8F9	2
UniRef90_UPI0009E58229	1
UniRef90_UPI00077AF133	1
UniRef90_UPI0009E5CB7D	3
UniRef90_A0A2B4SIJ8	1
UniRef90_UPI0009E5B2A8	1
UniRef90_UPI0009E65605	2
UPI000C03A010	1
UPI0009E26412	3
UniRef90_A0A2B4SUY7	2
UniRef90_UPI0009E26FB9	3
UniRef90_UPI00077AD7E8	2
UniRef90_UPI00077A3867	4
UniRef90_UPI0009E65E13	1
UniRef90_A0A2B4RB66	1
UniRef90_UPI00077B0224	3
UniRef90_UPI00077A6B28	3
UniRef90_A0A2B4RFA8	2
UniRef90_UPI0009E3E3E7	2
UniRef90_UPI00077A3F7C	1
UniRef90_UPI00077A9C74	2
UniRef90_UPI00077A3017	5
UniRef90_UPI0009E21D92	1
UniRef90_UPI000C04BCCA	1
UniRef90_UPI00077B1B4A	1
UniRef90_UPI00077A0DFD	1
UPI00077A63D6	2
UPI000F5563EF	1
UniRef90_UPI00077ABFE7	2
UniRef90_A0A2B4RVH8	1
UPI000F557005	3
UniRef90_UPI00077A3DF2	8
UniRef90_UPI00077B1E46	3
UniRef90_UPI0009E4EF96	2
UniRef90_UPI0009E3E65B	1
UniRef90_UPI0009E4BDF8	1
UniRef90_A7REU6	2
UniRef90_A0A2B4SGH0	2
UPI000F5572AA	1
UniRef90_UPI00077B1296	1
UniRef90_UPI00077A8E93	7
UniRef90_A0A2B4SL30	2
UniRef90_UPI00077AA693	2
UPI000F54DD06	1
UniRef90_UPI00077B0674	1
UniRef90_UPI0009E5C9EA	1
UniRef90_UPI00077A7CC0	2
UniRef90_UPI0009E399AD	1
UniRef90_UPI000F555D6B	1
UniRef90_UPI0009E5813F	2
UniRef90_UPI00077ACD27	1
UniRef90_UPI00077A2C6E	3
UniRef90_UPI0009E413BF	1
UniRef90_UPI00077ACEB3	1
UniRef90_UPI00077B0689	3
UniRef90_UPI0009E3FB5D	3
UniRef90_A0A075AC32	1
UniRef90_UPI00077A91FD	1
UniRef90_A0A2B4RKT3	1
UniRef90_A0A2B4SH98	1
UPI000C04632A	1
UniRef90_UPI00077A6E47	2
UniRef90_Q8WS60	2
UniRef90_UPI00077A825B	1
UniRef90_UPI0009E40218	1
UniRef90_UPI0009E597B6	11
UniRef90_A0A2B4R7J2	4
UniRef90_UPI0009E2FADC	4
UniRef90_UPI00077AEBD9	5
UniRef90_UPI00077A679A	1
UniRef90_A0A2B4S392	2
UPI00077A7935	1
UPI000F54FE0A	1
UniRef90_A0A2B4SJA7	1
UniRef90_UPI000F54EC58	1
UniRef90_UPI00077B1726	2
UniRef90_UPI00077B0F73	1
UniRef90_UPI00077AB7FD	1
UPI000F5546EB	1
UniRef90_UPI00077AAD23	1
UniRef90_UPI0009E481B5	1
UniRef90_UPI00077A13A8	3
UniRef90_A0A2B4SA57	2
UniRef90_UPI0009E254CA	2
UniRef90_UPI00077A3303	3
UniRef90_A7T1Z7	3
UniRef90_A0A1X7UCT8	1
UniRef90_UPI000F55987F	1
UniRef90_UPI00077ACBC4	1
UPI00077AD8C4	2
UniRef90_UPI00077B223B	1
UPI000F552FD1	2
UniRef90_UPI000F5518D2	4
UniRef90_UPI00077A58B5	2
UniRef90_UPI00021A47DA	1
UniRef90_UPI00077B0350	3
UniRef90_UPI00077AB1FB	1
UniRef90_UPI00077A1549	1
UniRef90_UPI000779F3CE	10
UniRef90_UPI0009E632CE	2
UniRef90_UPI0009E4A8E5	2
UniRef90_UPI00077A880C	1
UPI00077A323A	1
UniRef90_UPI00077A44C7	17
UPI00077A6D8E	15
UPI00077A728F	2
UniRef90_UPI00077AC98B	5
UniRef90_UPI00077A526C	1
UniRef90_A0A2G8LFC7	2
UniRef90_A0A2B4S6D9	1
UniRef90_A0A2B4S2G2	1
UniRef90_A0A2B4SR23	1
UniRef90_UPI0009E35236	2
UniRef90_UPI0009E3D958	2
UniRef90_UPI00077AEF50	2
UniRef90_UPI0009E3B8D5	1
UPI00077AE442	1
UniRef90_UPI00077AB22F	1
UPI00077AD748	1
UniRef90_UPI0009E632F9	1
UniRef90_UPI0009E4304A	2
UniRef90_UPI00077B05DF	2
UniRef90_UPI00077ABECA	2
UniRef90_UPI00077A3F7B	5
UniRef90_UPI00077A9963	1
UniRef90_UPI00077B1331	1
UniRef90_UPI0009E19ECD	3
UniRef90_UPI00077A9968	1
UniRef90_UPI00077AA3B9	2
UPI00077A3022	3
UniRef90_UPI000F553B90	1
UPI00077A7A5A	2
UniRef90_A0A2B4R5H2	3
UniRef90_UPI00077ACBA4	1
UniRef90_UPI00077A5361	1
UniRef90_UPI00077A6DB8	11
UniRef90_UPI00077A1448	2
UniRef90_A0A2B4SB17	1
UniRef90_UPI0009E2E69B	3
UniRef90_UPI00077ADDC9	1
UniRef90_UPI0009E42816	1
UniRef90_UPI0009E40EC3	4
UniRef90_UPI00077A3576	2
UniRef90_UPI0009E5D3FA	2
UniRef90_UPI0009E4DE70	1
UniRef90_UPI0009E5CAA3	3
UniRef90_UPI00077A1915	4
UniRef90_A0A2B4SFA1	2
UniRef90_UPI0009E514A0	1
UniRef90_UPI00077A7DF0	1
UniRef90_UPI00077A28C1	4
UniRef90_UPI00077B0AB9	1
UniRef90_UPI000779F728	1
UniRef90_UPI00077A0C75	1
UniRef90_UPI0009E25657	1
UniRef90_UPI0009E19E37	3
UniRef90_UPI00077ADA5D	1
UniRef90_UPI00077AE839	1
UniRef90_UPI000F54E464	5
UniRef90_UPI00077A1E10	1
UniRef90_UPI0009E216DC	1
UniRef90_UPI00077A871D	2
UPI000C04C90B	1
UniRef90_UPI00077ACAA1	1
UniRef90_UPI000779FC25	2
UniRef90_UPI00077AB9C7	5
UPI0009E5FAAB	4
UniRef90_UPI00077A17CB	1
UniRef90_A0A2B4R8Q6	2
UniRef90_UPI00077A98BE	3
UniRef90_UPI0009E4F902	1
UniRef90_UPI0009E1D5CE	1
UniRef90_UPI00077ACB22	11
UniRef90_UPI00077A6F72	1
UniRef90_UPI00077A9725	1
UPI000F5578E5	2
UniRef90_A0A2B4RK22	1
UniRef90_UPI0009E33CC6	1
UniRef90_UPI00077B1E80	2
UniRef90_UPI00077A698F	3
UniRef90_UPI00077A1802	5
UniRef90_UPI00077A9CFF	2
UniRef90_UPI00077B19E1	1
UniRef90_A0A2B4SPW5	2
UniRef90_UPI00077ABAA1	2
UPI00077A9373	2
UniRef90_UPI0009E2EA0E	1
UniRef90_UPI000C04BA23	1
UniRef90_UPI00077AA14D	2
UniRef90_UPI00077B0934	2
UPI00077AA99D	2
UniRef90_UPI00077B18E4	1
UPI0009E1EB64	2
UniRef90_UPI00077A4613	3
UniRef90_UPI0009E46647	1
UniRef90_UPI000F550317	1
UniRef90_UPI00077B1EB1	4
UniRef90_UPI000779FF9F	4
UPI00077A9812	2
UniRef90_UPI000F550DA6	1
UniRef90_UPI0009E2D7F3	1
UniRef90_A0A2B4SK31	2
UniRef90_A0A2B4RE63	2
UniRef90_A0A2B4T2B6	1
UniRef90_UPI00077AA8EA	1
UniRef90_A0A2B4SHE3	2
UniRef90_UPI00077A7684	4
UniRef90_UPI0009E413C5	1
UniRef90_UPI0009E2CFA9	1
UPI000F54E5E0	2
UPI000F55395F	1
UniRef90_UPI000A2A670E	1
UniRef90_UPI00077A1D9D	1
UniRef90_UPI00077A7F2D	1
UniRef90_UPI00077AA63D	1
UniRef90_UPI00077A0F26	1
UPI000F551554	1
UniRef90_A0A2B4RIC1	3
UniRef90_UPI00077A13FF	1
UniRef90_UPI00077AC771	1
UniRef90_I3QDC6	1
UniRef90_UPI00077A92A9	2
UniRef90_UPI00077A0B6F	1
UniRef90_UPI00077AF2E8	3
UniRef90_UPI0009E24D79	5
UniRef90_UPI000F55285F	3
UniRef90_UPI0009E4A76A	1
UPI000F551D86	1
UniRef90_A0A2B4R7T1	14
